,zone,percent of marker area in zone,percent of cellular marker area in zone,percent of cellular marker area in zone no exp,percent of positive in zone
0,Z1,0.2713783223461995,0.2877887679919518,0.22845757927942886,0.021588586401599594
1,Z2,5.003573148565303,5.396416174290252,5.91354304012055,0.3978909279138878
2,Z3,13.331038966005124,14.25192859958331,14.710115229553665,1.0767114436803507
3,Z4,22.522290093713245,24.44983606557377,27.13707562759126,1.8333929413043706
4,Z5,32.06337765828218,34.814314588931566,37.68592487972812,2.4456254852799195
5,Z6,41.90909503494599,44.49297411877329,46.99422194079468,3.4223932013557263
6,Z7,46.409208911070415,49.54745870133186,53.000104134124754,3.5612210924504186
7,Z8,46.533811455332824,50.42775017936446,53.253219809236406,3.667218272035955
8,Z9,47.899342102712616,51.947175074737586,56.35092514718251,3.81592935003839
9,Z10,50.63007560907309,54.537971228848626,58.78513164903339,4.076320440098313
10,Z11,52.56890098673018,55.94219236145556,59.39223611637405,4.1036845138491245
11,Z12,55.28814316446123,58.883865308050474,63.32402857233833,4.357775072255362
12,Z13,60.19151475694444,65.20582494853262,69.84439834024896,4.7971445002226805
13,Z14,61.490412550842535,66.30372669169297,70.09144813763153,4.967969208931189
14,Z15,64.16277870395912,68.35023445454505,73.70054391955775,4.956757968782719
15,Z16,67.08326763856469,72.21645002341084,76.44443052641468,5.38769580291937
16,Z17,68.36801419930404,73.589023023819,78.64215144656247,5.424850408700664
17,Z18,67.37424614216555,73.18060784133688,78.09829880115387,5.316969246610839
18,Z19,70.04623886320063,75.00914714200239,79.90638548467342,5.754794426623823
19,Z20,68.89974850225938,73.19163173694434,77.72740976828322,5.20362144676267
20,Z21,72.26089929371179,76.18106873305328,81.21097987841074,5.7446332750843005
21,Z22,73.99970647757644,78.92153850205877,83.82851040024411,5.917650815887964
22,Z23,76.51799897739735,81.57700092566756,85.09304545499276,6.054872689110149
23,Z24,72.52154577639702,76.3905164250226,76.2584774094947,5.681226454079316
